train_no,station_code,event_type,actual_time_ts,delay_minutes
T0217,HWH,ARRIVAL,40:21.4,0.36
T0217,HWH,DEPARTURE,42:21.4,0.36
T0217,BDC,ARRIVAL,50:16.7,0.28
T0217,BDC,DEPARTURE,50:46.7,0.28
T0218,HWH,ARRIVAL,06:19.6,1.33
T0218,HWH,DEPARTURE,08:19.6,1.33
T0219,HWH,ARRIVAL,51:19.7,1.33
T0219,HWH,DEPARTURE,53:19.7,1.33
T0220,HWH,ARRIVAL,06:36.9,1.61
T0220,HWH,DEPARTURE,08:36.9,1.61
T0221,HWH,ARRIVAL,46:57.3,1.96
T0221,HWH,DEPARTURE,48:57.3,1.96
T0222,HWH,ARRIVAL,05:34.4,0.57
T0222,HWH,DEPARTURE,07:34.4,0.57
T0223,HWH,ARRIVAL,45:33.4,0.56
T0223,HWH,DEPARTURE,47:33.4,0.56
T0224,HWH,ARRIVAL,06:16.8,1.28
T0224,HWH,DEPARTURE,08:16.8,1.28
T0225,HWH,ARRIVAL,25:50.4,0.84
T0225,HWH,DEPARTURE,27:50.4,0.84
T0226,HWH,ARRIVAL,05:58.1,0.97
T0226,HWH,DEPARTURE,07:58.1,0.97
T0227,HWH,ARRIVAL,06:16.3,1.27
T0227,HWH,DEPARTURE,08:16.3,1.27
T0228,BDC,ARRIVAL,16:46.0,1.77
T0228,BDC,DEPARTURE,18:46.0,1.77
T0229,BDC,ARRIVAL,20:19.8,0.33
T0229,BDC,DEPARTURE,22:19.8,0.33
T0230,HWH,ARRIVAL,05:22.6,0.38
T0230,HWH,DEPARTURE,07:22.6,0.38
T0231,HWH,ARRIVAL,40:04.7,0.08
T0231,HWH,DEPARTURE,42:04.7,0.08
T0232,HWH,ARRIVAL,05:41.4,0.69
T0232,HWH,DEPARTURE,07:41.4,0.69
T0233,HWH,ARRIVAL,40:01.8,0.03
T0233,HWH,DEPARTURE,42:01.8,0.03
T0234,HWH,ARRIVAL,05:30.1,0.5
T0234,HWH,DEPARTURE,07:30.1,0.5
T0234,BDC,ARRIVAL,15:37.5,0.63
T0234,BDC,DEPARTURE,16:07.5,0.63
T0235,HWH,ARRIVAL,50:16.2,0.27
T0235,HWH,DEPARTURE,52:16.2,0.27
T0235,BDC,ARRIVAL,00:42.9,0.71
T0235,BDC,DEPARTURE,01:12.9,0.71
T0236,HWH,ARRIVAL,05:01.5,0.02
T0236,HWH,DEPARTURE,07:01.5,0.02
T0236,BDC,ARRIVAL,15:01.8,0.03
T0236,BDC,DEPARTURE,15:31.8,0.03
T0237,HWH,ARRIVAL,21:23.0,1.38
T0237,HWH,DEPARTURE,23:23.0,1.38
T0237,BDC,ARRIVAL,30:21.4,0.36
T0237,BDC,DEPARTURE,30:51.4,0.36
T0238,HWH,ARRIVAL,45:06.5,0.11
T0238,HWH,DEPARTURE,47:06.5,0.11
T0239,HWH,ARRIVAL,45:35.5,0.59
T0239,HWH,DEPARTURE,47:35.5,0.59
T0240,HWH,ARRIVAL,21:10.5,1.18
T0240,HWH,DEPARTURE,23:10.5,1.18
T0241,HWH,ARRIVAL,00:11.7,0.19
T0241,HWH,DEPARTURE,02:11.7,0.19
T0242,HWH,ARRIVAL,05:46.8,0.78
T0242,HWH,DEPARTURE,07:46.8,0.78
T0243,HWH,ARRIVAL,55:04.3,0.07
T0243,HWH,DEPARTURE,57:04.3,0.07
T0244,HWH,ARRIVAL,05:02.5,0.04
T0244,HWH,DEPARTURE,07:02.5,0.04
T0245,HWH,ARRIVAL,55:36.4,0.61
T0245,HWH,DEPARTURE,57:36.4,0.61
T0246,HWH,ARRIVAL,05:37.3,0.62
T0246,HWH,DEPARTURE,07:37.3,0.62
T0247,HWH,ARRIVAL,35:48.7,0.81
T0247,HWH,DEPARTURE,37:48.7,0.81
T0248,HWH,ARRIVAL,06:02.2,1.04
T0248,HWH,DEPARTURE,08:02.2,1.04
T0249,HWH,ARRIVAL,02:58.7,2.98
T0249,HWH,DEPARTURE,04:58.7,2.98
T0250,HWH,ARRIVAL,05:34.9,0.58
T0250,HWH,DEPARTURE,07:34.9,0.58
T0251,HWH,ARRIVAL,00:18.7,0.31
T0251,HWH,DEPARTURE,02:18.7,0.31
T0252,HWH,ARRIVAL,06:16.1,1.27
T0252,HWH,DEPARTURE,08:16.1,1.27
T0253,HWH,ARRIVAL,40:15.2,0.25
T0253,HWH,DEPARTURE,42:15.2,0.25
T0254,HWH,ARRIVAL,05:27.7,0.46
T0254,HWH,DEPARTURE,07:27.7,0.46
T0255,HWH,ARRIVAL,15:03.9,0.07
T0255,HWH,DEPARTURE,17:03.9,0.07
T0256,HWH,ARRIVAL,20:01.2,0.02
T0256,HWH,DEPARTURE,22:01.2,0.02
T0257,HWH,ARRIVAL,07:37.8,2.63
T0257,HWH,DEPARTURE,09:37.8,2.63
T0258,HWH,ARRIVAL,06:26.8,1.45
T0258,HWH,DEPARTURE,08:26.8,1.45
T0259,HWH,ARRIVAL,45:57.2,0.95
T0259,HWH,DEPARTURE,47:57.2,0.95
T0260,HWH,ARRIVAL,50:25.2,0.42
T0260,HWH,DEPARTURE,52:25.2,0.42
T0261,HWH,ARRIVAL,05:09.1,0.15
T0261,HWH,DEPARTURE,07:09.1,0.15
T0262,HWH,ARRIVAL,05:08.2,0.14
T0262,HWH,DEPARTURE,07:08.2,0.14
T0263,BDC,ARRIVAL,05:13.8,0.23
T0263,BDC,DEPARTURE,07:13.8,0.23
T0264,BDC,ARRIVAL,20:38.2,0.64
T0264,BDC,DEPARTURE,22:38.2,0.64
T0265,BDC,ARRIVAL,31:00.2,1.0
T0265,BDC,DEPARTURE,33:00.2,1.0
T0266,BDC,ARRIVAL,30:51.8,0.86
T0266,BDC,DEPARTURE,32:51.8,0.86
T0267,HWH,ARRIVAL,05:15.8,0.26
T0267,HWH,DEPARTURE,07:15.8,0.26
T0268,HWH,ARRIVAL,47:28.7,2.48
T0268,HWH,DEPARTURE,49:28.7,2.48
T0269,HWH,ARRIVAL,06:04.3,1.07
T0269,HWH,DEPARTURE,08:04.3,1.07
T0270,HWH,ARRIVAL,10:38.8,0.65
T0270,HWH,DEPARTURE,12:38.8,0.65
T0271,HWH,ARRIVAL,05:45.4,0.76
T0271,HWH,DEPARTURE,07:45.4,0.76
T0272,HWH,ARRIVAL,10:26.1,0.44
T0272,HWH,DEPARTURE,12:26.1,0.44
T0273,HWH,ARRIVAL,05:13.7,0.23
T0273,HWH,DEPARTURE,07:13.7,0.23
T0274,HWH,ARRIVAL,10:21.1,0.35
T0274,HWH,DEPARTURE,12:21.1,0.35
T0275,HWH,ARRIVAL,06:08.1,1.13
T0275,HWH,DEPARTURE,08:08.1,1.13
T0276,HWH,ARRIVAL,10:00.7,0.01
T0276,HWH,DEPARTURE,12:00.7,0.01
T0277,HWH,ARRIVAL,05:05.9,0.1
T0277,HWH,DEPARTURE,07:05.9,0.1
T0278,HWH,ARRIVAL,30:02.3,0.04
T0278,HWH,DEPARTURE,32:02.3,0.04
T0279,HWH,ARRIVAL,05:02.0,0.03
T0279,HWH,DEPARTURE,07:02.0,0.03
T0280,HWH,ARRIVAL,01:32.8,1.55
T0280,HWH,DEPARTURE,03:32.8,1.55
T0281,HWH,ARRIVAL,05:58.4,0.97
T0281,HWH,DEPARTURE,07:58.4,0.97
T0282,HWH,ARRIVAL,00:30.9,0.51
T0282,HWH,DEPARTURE,02:30.9,0.51
T0283,HWH,ARRIVAL,05:04.9,0.08
T0283,HWH,DEPARTURE,07:04.9,0.08
T0284,HWH,ARRIVAL,00:32.5,0.54
T0284,HWH,DEPARTURE,02:32.5,0.54
T0285,HWH,ARRIVAL,05:30.8,0.51
T0285,HWH,DEPARTURE,07:30.8,0.51
T0286,HWH,ARRIVAL,50:09.1,0.15
T0286,HWH,DEPARTURE,52:09.1,0.15
T0287,HWH,ARRIVAL,05:27.3,0.46
T0287,HWH,DEPARTURE,07:27.3,0.46
T0288,HWH,ARRIVAL,05:24.4,0.41
T0288,HWH,DEPARTURE,07:24.4,0.41
T0289,HWH,ARRIVAL,05:45.9,0.77
T0289,HWH,DEPARTURE,07:45.9,0.77
T0290,HWH,ARRIVAL,25:48.4,0.81
T0290,HWH,DEPARTURE,27:48.4,0.81
T0291,HWH,ARRIVAL,05:02.2,0.04
T0291,HWH,DEPARTURE,07:02.2,0.04
T0292,HWH,ARRIVAL,20:22.5,0.38
T0292,HWH,DEPARTURE,22:22.5,0.38
T0293,HWH,ARRIVAL,05:47.2,0.79
T0293,HWH,DEPARTURE,07:47.2,0.79
T0294,HWH,ARRIVAL,15:33.6,0.56
T0294,HWH,DEPARTURE,17:33.6,0.56
T0295,HWH,ARRIVAL,06:33.2,1.55
T0295,HWH,DEPARTURE,08:33.2,1.55
T0296,HWH,ARRIVAL,25:51.6,0.86
T0296,HWH,DEPARTURE,27:51.6,0.86
T0297,HWH,ARRIVAL,05:08.5,0.14
T0297,HWH,DEPARTURE,07:08.5,0.14
T0298,HWH,ARRIVAL,25:03.5,0.06
T0298,HWH,DEPARTURE,27:03.5,0.06
T0299,HWH,ARRIVAL,05:49.4,0.82
T0299,HWH,DEPARTURE,07:49.4,0.82
T0300,HWH,ARRIVAL,20:01.3,0.02
T0300,HWH,DEPARTURE,22:01.3,0.02
T0301,HWH,ARRIVAL,05:42.3,0.71
T0301,HWH,DEPARTURE,07:42.3,0.71
T0302,HWH,ARRIVAL,27:15.2,2.25
T0302,HWH,DEPARTURE,29:15.2,2.25
T0303,HWH,ARRIVAL,05:41.1,0.69
T0303,HWH,DEPARTURE,07:41.1,0.69
T0304,HWH,ARRIVAL,25:23.6,0.39
T0304,HWH,DEPARTURE,27:23.6,0.39
T0305,HWH,ARRIVAL,05:49.5,0.82
T0305,HWH,DEPARTURE,07:49.5,0.82
T0306,HWH,ARRIVAL,10:29.4,0.49
T0306,HWH,DEPARTURE,12:29.4,0.49
T0307,HWH,ARRIVAL,05:37.9,0.63
T0307,HWH,DEPARTURE,07:37.9,0.63
T0308,HWH,ARRIVAL,27:16.2,2.27
T0308,HWH,DEPARTURE,29:16.2,2.27
T0309,HWH,ARRIVAL,05:23.4,0.39
T0309,HWH,DEPARTURE,07:23.4,0.39
T0310,HWH,ARRIVAL,22:36.0,2.6
T0310,HWH,DEPARTURE,24:36.0,2.6
T0311,HWH,ARRIVAL,06:53.2,1.89
T0311,HWH,DEPARTURE,08:53.2,1.89
T0312,HWH,ARRIVAL,25:10.5,0.17
T0312,HWH,DEPARTURE,27:10.5,0.17
T0313,HWH,ARRIVAL,05:03.4,0.06
T0313,HWH,DEPARTURE,07:03.4,0.06
T0314,HWH,ARRIVAL,25:05.1,0.08
T0314,HWH,DEPARTURE,27:05.1,0.08
T0315,HWH,ARRIVAL,05:00.9,0.01
T0315,HWH,DEPARTURE,07:00.9,0.01
T0316,HWH,ARRIVAL,25:04.8,0.08
T0316,HWH,DEPARTURE,27:04.8,0.08
T0317,HWH,ARRIVAL,05:55.1,0.92
T0317,HWH,DEPARTURE,07:55.1,0.92
T0318,HWH,ARRIVAL,20:03.5,0.06
T0318,HWH,DEPARTURE,22:03.5,0.06
T0319,HWH,ARRIVAL,05:18.4,0.31
T0319,HWH,DEPARTURE,07:18.4,0.31
T0320,HWH,ARRIVAL,31:29.4,1.49
T0320,HWH,DEPARTURE,33:29.4,1.49
T0321,HWH,ARRIVAL,05:01.1,0.02
T0321,HWH,DEPARTURE,07:01.1,0.02
T0322,HWH,ARRIVAL,31:20.9,1.35
T0322,HWH,DEPARTURE,33:20.9,1.35
T0323,HWH,ARRIVAL,05:15.9,0.26
T0323,HWH,DEPARTURE,07:15.9,0.26
T0324,HWH,ARRIVAL,25:06.0,0.1
T0324,HWH,DEPARTURE,27:06.0,0.1
T0325,HWH,ARRIVAL,05:57.3,0.95
T0325,HWH,DEPARTURE,07:57.3,0.95
T0326,HWH,ARRIVAL,25:47.6,0.79
T0326,HWH,DEPARTURE,27:47.6,0.79
T0327,HWH,ARRIVAL,06:40.8,1.68
T0327,HWH,DEPARTURE,08:40.8,1.68
T0328,HWH,ARRIVAL,26:03.8,1.06
T0328,HWH,DEPARTURE,28:03.8,1.06
T0329,HWH,ARRIVAL,06:18.1,1.3
T0329,HWH,DEPARTURE,08:18.1,1.3
T0330,HWH,ARRIVAL,25:15.9,0.27
T0330,HWH,DEPARTURE,27:15.9,0.27
T0331,HWH,ARRIVAL,05:09.4,0.16
T0331,HWH,DEPARTURE,07:09.4,0.16
T0332,HWH,ARRIVAL,26:06.7,1.11
T0332,HWH,DEPARTURE,28:06.7,1.11
T0333,HWH,ARRIVAL,26:18.9,1.32
T0333,HWH,DEPARTURE,28:18.9,1.32
T0334,HWH,ARRIVAL,33:43.5,3.73
T0334,HWH,DEPARTURE,35:43.5,3.73
T0335,HWH,ARRIVAL,05:25.5,0.43
T0335,HWH,DEPARTURE,07:25.5,0.43
T0335,BLY,ARRIVAL,18:04.3,0.37
T0335,BLY,DEPARTURE,18:34.3,0.37
T0335,SRP,ARRIVAL,23:47.9,1.2
T0335,SRP,DEPARTURE,24:17.9,1.2
T0336,HWH,ARRIVAL,45:20.0,0.33
T0336,HWH,DEPARTURE,47:20.0,0.33
T0336,BLY,ARRIVAL,59:50.2,2.14
T0336,BLY,DEPARTURE,00:20.2,2.14
T0336,SRP,ARRIVAL,04:09.8,1.56
T0336,SRP,DEPARTURE,04:39.8,1.56
T0337,HWH,ARRIVAL,05:26.9,0.45
T0337,HWH,DEPARTURE,07:26.9,0.45
T0337,BLY,ARRIVAL,18:48.7,1.11
T0337,BLY,DEPARTURE,19:18.7,1.11
T0337,SRP,ARRIVAL,23:43.4,1.12
T0337,SRP,DEPARTURE,24:13.4,1.12
T0338,HWH,ARRIVAL,45:05.2,0.09
T0338,HWH,DEPARTURE,47:05.2,0.09
T0338,BLY,ARRIVAL,59:33.8,1.86
T0338,BLY,DEPARTURE,00:03.8,1.86
T0338,SRP,ARRIVAL,03:09.8,0.56
T0338,SRP,DEPARTURE,03:39.8,0.56
T0339,HWH,ARRIVAL,06:24.1,1.4
T0339,HWH,DEPARTURE,08:24.1,1.4
T0339,BLY,ARRIVAL,18:00.5,0.31
T0339,BLY,DEPARTURE,18:30.5,0.31
T0339,SRP,ARRIVAL,24:24.4,1.81
T0339,SRP,DEPARTURE,24:54.4,1.81
T0340,HWH,ARRIVAL,45:23.7,0.39
T0340,HWH,DEPARTURE,47:23.7,0.39
T0340,BLY,ARRIVAL,57:42.5,0.01
T0340,BLY,DEPARTURE,58:12.5,0.01
T0340,SRP,ARRIVAL,04:29.2,1.89
T0340,SRP,DEPARTURE,04:59.2,1.89
T0341,HWH,ARRIVAL,05:04.6,0.08
T0341,HWH,DEPARTURE,07:04.6,0.08
T0341,BLY,ARRIVAL,18:00.5,0.31
T0341,BLY,DEPARTURE,18:30.5,0.31
T0341,SRP,ARRIVAL,24:59.9,2.4
T0341,SRP,DEPARTURE,25:29.9,2.4
T0342,HWH,ARRIVAL,47:24.4,2.41
T0342,HWH,DEPARTURE,49:24.4,2.41
T0342,BLY,ARRIVAL,58:22.9,0.68
T0342,BLY,DEPARTURE,58:52.9,0.68
T0342,SRP,ARRIVAL,03:24.0,0.8
T0342,SRP,DEPARTURE,03:54.0,0.8
T0343,HWH,ARRIVAL,05:28.6,0.48
T0343,HWH,DEPARTURE,07:28.6,0.48
T0343,BLY,ARRIVAL,17:58.7,0.28
T0343,BLY,DEPARTURE,18:28.7,0.28
T0343,SRP,ARRIVAL,22:55.1,0.32
T0343,SRP,DEPARTURE,23:25.1,0.32
T0344,HWH,ARRIVAL,45:53.6,0.89
T0344,HWH,DEPARTURE,47:53.6,0.89
T0344,BLY,ARRIVAL,58:49.0,1.12
T0344,BLY,DEPARTURE,59:19.0,1.12
T0344,SRP,ARRIVAL,03:51.3,1.25
T0344,SRP,DEPARTURE,04:21.3,1.25
T0345,HWH,ARRIVAL,06:14.8,1.25
T0345,HWH,DEPARTURE,08:14.8,1.25
T0345,BLY,ARRIVAL,17:46.6,0.08
T0345,BLY,DEPARTURE,18:16.6,0.08
T0345,SRP,ARRIVAL,23:08.7,0.55
T0345,SRP,DEPARTURE,23:38.7,0.55
T0346,HWH,ARRIVAL,50:02.8,0.05
T0346,HWH,DEPARTURE,52:02.8,0.05
T0346,BLY,ARRIVAL,03:20.3,0.64
T0346,BLY,DEPARTURE,03:50.3,0.64
T0346,SRP,ARRIVAL,08:04.0,0.47
T0346,SRP,DEPARTURE,08:34.0,0.47
T0347,HWH,ARRIVAL,06:45.0,1.75
T0347,HWH,DEPARTURE,08:45.0,1.75
T0347,BLY,ARRIVAL,18:02.7,0.35
T0347,BLY,DEPARTURE,18:32.7,0.35
T0347,SRP,ARRIVAL,22:42.0,0.1
T0347,SRP,DEPARTURE,23:12.0,0.1
T0348,HWH,ARRIVAL,50:07.4,0.12
T0348,HWH,DEPARTURE,52:07.4,0.12
T0348,BLY,ARRIVAL,03:50.8,1.15
T0348,BLY,DEPARTURE,04:20.8,1.15
T0348,SRP,ARRIVAL,08:22.2,0.77
T0348,SRP,DEPARTURE,08:52.2,0.77
T0349,HWH,ARRIVAL,05:05.1,0.09
T0349,HWH,DEPARTURE,07:05.1,0.09
T0349,BLY,ARRIVAL,17:46.2,0.07
T0349,BLY,DEPARTURE,18:16.2,0.07
T0349,SRP,ARRIVAL,23:33.9,0.97
T0349,SRP,DEPARTURE,24:03.9,0.97
T0350,HWH,ARRIVAL,50:03.6,0.06
T0350,HWH,DEPARTURE,52:03.6,0.06
T0350,BLY,ARRIVAL,04:04.8,1.38
T0350,BLY,DEPARTURE,04:34.8,1.38
T0350,SRP,ARRIVAL,08:34.8,0.98
T0350,SRP,DEPARTURE,09:04.8,0.98
T0351,HWH,ARRIVAL,05:04.1,0.07
T0351,HWH,DEPARTURE,07:04.1,0.07
T0351,BLY,ARRIVAL,17:46.3,0.07
T0351,BLY,DEPARTURE,18:16.3,0.07
T0351,SRP,ARRIVAL,26:03.1,3.45
T0351,SRP,DEPARTURE,26:33.1,3.45
T0352,HWH,ARRIVAL,50:22.5,0.38
T0352,HWH,DEPARTURE,52:22.5,0.38
T0352,BLY,ARRIVAL,03:04.2,0.37
T0352,BLY,DEPARTURE,03:34.2,0.37
T0352,SRP,ARRIVAL,08:56.4,1.34
T0352,SRP,DEPARTURE,09:26.4,1.34
T0353,HWH,ARRIVAL,07:21.2,2.35
T0353,HWH,DEPARTURE,09:21.2,2.35
T0353,BLY,ARRIVAL,21:06.9,3.42
T0353,BLY,DEPARTURE,21:36.9,3.42
T0353,SRP,ARRIVAL,23:43.2,1.12
T0353,SRP,DEPARTURE,24:13.2,1.12
T0354,HWH,ARRIVAL,50:22.7,0.38
T0354,HWH,DEPARTURE,52:22.7,0.38
T0354,BLY,ARRIVAL,02:46.2,0.07
T0354,BLY,DEPARTURE,03:16.2,0.07
T0354,SRP,ARRIVAL,08:48.1,1.2
T0354,SRP,DEPARTURE,09:18.1,1.2
T0355,HWH,ARRIVAL,05:39.2,0.65
T0355,HWH,DEPARTURE,07:39.2,0.65
T0355,BLY,ARRIVAL,18:08.5,0.44
T0355,BLY,DEPARTURE,18:38.5,0.44
T0355,SRP,ARRIVAL,24:29.7,1.89
T0355,SRP,DEPARTURE,24:59.7,1.89
T0356,HWH,ARRIVAL,50:05.7,0.09
T0356,HWH,DEPARTURE,52:05.7,0.09
T0356,BLY,ARRIVAL,03:14.6,0.54
T0356,BLY,DEPARTURE,03:44.6,0.54
T0356,SRP,ARRIVAL,07:36.5,0.01
T0356,SRP,DEPARTURE,08:06.5,0.01
T0357,HWH,ARRIVAL,05:30.4,0.51
T0357,HWH,DEPARTURE,07:30.4,0.51
T0357,BLY,ARRIVAL,17:44.8,0.05
T0357,BLY,DEPARTURE,18:14.8,0.05
T0357,SRP,ARRIVAL,22:42.1,0.1
T0357,SRP,DEPARTURE,23:12.1,0.1
T0358,HWH,ARRIVAL,50:06.0,0.1
T0358,HWH,DEPARTURE,52:06.0,0.1
T0358,BLY,ARRIVAL,03:32.3,0.84
T0358,BLY,DEPARTURE,04:02.3,0.84
T0358,SRP,ARRIVAL,08:41.8,1.1
T0358,SRP,DEPARTURE,09:11.8,1.1
T0359,HWH,ARRIVAL,05:42.0,0.7
T0359,HWH,DEPARTURE,07:42.0,0.7
T0359,BLY,ARRIVAL,20:19.2,2.62
T0359,BLY,DEPARTURE,20:49.2,2.62
T0359,SRP,ARRIVAL,22:58.5,0.38
T0359,SRP,DEPARTURE,23:28.5,0.38
T0360,HWH,ARRIVAL,50:16.2,0.27
T0360,HWH,DEPARTURE,52:16.2,0.27
T0360,BLY,ARRIVAL,04:19.4,1.62
T0360,BLY,DEPARTURE,04:49.4,1.62
T0360,SRP,ARRIVAL,07:48.1,0.2
T0360,SRP,DEPARTURE,08:18.1,0.2
T0361,HWH,ARRIVAL,52:38.5,2.64
T0361,HWH,DEPARTURE,54:38.5,2.64
T0361,BLY,ARRIVAL,02:42.6,0.01
T0361,BLY,DEPARTURE,03:12.6,0.01
T0361,SRP,ARRIVAL,10:24.1,2.8
T0361,SRP,DEPARTURE,10:54.1,2.8
T0362,HWH,ARRIVAL,05:02.1,0.04
T0362,HWH,DEPARTURE,07:02.1,0.04
T0362,BLY,ARRIVAL,19:28.5,1.77
T0362,BLY,DEPARTURE,19:58.5,1.77
T0362,SRP,ARRIVAL,23:12.0,0.6
T0362,SRP,DEPARTURE,23:42.0,0.6
T0363,HWH,ARRIVAL,53:57.9,3.97
T0363,HWH,DEPARTURE,55:57.9,3.97
T0363,BLY,ARRIVAL,02:45.7,0.06
T0363,BLY,DEPARTURE,03:15.7,0.06
T0363,SRP,ARRIVAL,08:14.7,0.65
T0363,SRP,DEPARTURE,08:44.7,0.65
T0364,HWH,ARRIVAL,07:47.2,2.79
T0364,HWH,DEPARTURE,09:47.2,2.79
T0364,BLY,ARRIVAL,18:17.5,0.59
T0364,BLY,DEPARTURE,18:47.5,0.59
T0364,SRP,ARRIVAL,23:23.6,0.79
T0364,SRP,DEPARTURE,23:53.6,0.79
T0365,HWH,ARRIVAL,50:57.1,0.95
T0365,HWH,DEPARTURE,52:57.1,0.95
T0365,BLY,ARRIVAL,03:11.1,0.48
T0365,BLY,DEPARTURE,03:41.1,0.48
T0365,SRP,ARRIVAL,08:23.4,0.79
T0365,SRP,DEPARTURE,08:53.4,0.79
T0366,HWH,ARRIVAL,05:42.1,0.7
T0366,HWH,DEPARTURE,07:42.1,0.7
T0366,BLY,ARRIVAL,19:33.1,1.85
T0366,BLY,DEPARTURE,20:03.1,1.85
T0366,SRP,ARRIVAL,22:38.2,0.04
T0366,SRP,DEPARTURE,23:08.2,0.04
T0367,HWH,ARRIVAL,50:15.8,0.26
T0367,HWH,DEPARTURE,52:15.8,0.26
T0367,BLY,ARRIVAL,05:06.2,2.4
T0367,BLY,DEPARTURE,05:36.2,2.4
T0367,SRP,ARRIVAL,09:22.1,1.77
T0367,SRP,DEPARTURE,09:52.1,1.77
T0368,HWH,ARRIVAL,05:29.2,0.49
T0368,HWH,DEPARTURE,07:29.2,0.49
T0368,BLY,ARRIVAL,18:28.5,0.77
T0368,BLY,DEPARTURE,18:58.5,0.77
T0368,SRP,ARRIVAL,22:51.6,0.26
T0368,SRP,DEPARTURE,23:21.6,0.26
T0369,HWH,ARRIVAL,50:10.0,0.17
T0369,HWH,DEPARTURE,52:10.0,0.17
T0369,BLY,ARRIVAL,03:11.9,0.5
T0369,BLY,DEPARTURE,03:41.9,0.5
T0369,SRP,ARRIVAL,07:56.9,0.35
T0369,SRP,DEPARTURE,08:26.9,0.35
T0370,HWH,ARRIVAL,05:42.1,0.7
T0370,HWH,DEPARTURE,07:42.1,0.7
T0371,HWH,ARRIVAL,15:03.9,0.06
T0371,HWH,DEPARTURE,17:03.9,0.06
T0372,HWH,ARRIVAL,07:55.9,2.93
T0372,HWH,DEPARTURE,09:55.9,2.93
T0373,HWH,ARRIVAL,18:25.6,3.43
T0373,HWH,DEPARTURE,20:25.6,3.43
T0374,HWH,ARRIVAL,05:57.5,0.96
T0374,HWH,DEPARTURE,07:57.5,0.96
T0375,HWH,ARRIVAL,15:36.9,0.61
T0375,HWH,DEPARTURE,17:36.9,0.61
T0376,HWH,ARRIVAL,05:17.8,0.3
T0376,HWH,DEPARTURE,07:17.8,0.3
T0377,HWH,ARRIVAL,16:20.7,1.34
T0377,HWH,DEPARTURE,18:20.7,1.34
T0378,HWH,ARRIVAL,05:55.4,0.92
T0378,HWH,DEPARTURE,07:55.4,0.92
T0379,HWH,ARRIVAL,15:08.5,0.14
T0379,HWH,DEPARTURE,17:08.5,0.14
T0380,HWH,ARRIVAL,06:56.1,1.93
T0380,HWH,DEPARTURE,08:56.1,1.93
T0381,HWH,ARRIVAL,16:23.0,1.38
T0381,HWH,DEPARTURE,18:23.0,1.38
T0382,HWH,ARRIVAL,07:23.6,2.39
T0382,HWH,DEPARTURE,09:23.6,2.39
T0382,BLY,ARRIVAL,18:44.1,1.03
T0382,BLY,DEPARTURE,19:14.1,1.03
T0382,SRP,ARRIVAL,23:21.6,0.76
T0382,SRP,DEPARTURE,23:51.6,0.76
T0382,CGR,ARRIVAL,29:44.0,0.43
T0382,CGR,DEPARTURE,30:14.0,0.43
T0382,CNS,ARRIVAL,39:03.6,2.16
T0382,CNS,DEPARTURE,39:33.6,2.16
T0382,BDC,ARRIVAL,50:00.5,1.61
T0382,BDC,DEPARTURE,50:30.5,1.61
T0383,HWH,ARRIVAL,25:02.2,0.04
T0383,HWH,DEPARTURE,27:02.2,0.04
T0383,BLY,ARRIVAL,37:43.3,0.02
T0383,BLY,DEPARTURE,38:13.3,0.02
T0383,SRP,ARRIVAL,42:58.7,0.38
T0383,SRP,DEPARTURE,43:28.7,0.38
T0383,CGR,ARRIVAL,50:37.9,1.33
T0383,CGR,DEPARTURE,51:07.9,1.33
T0383,CNS,ARRIVAL,00:23.5,3.49
T0383,CNS,DEPARTURE,00:53.5,3.49
T0383,BDC,ARRIVAL,08:31.8,0.13
T0383,BDC,DEPARTURE,09:01.8,0.13
T0384,HWH,ARRIVAL,05:43.3,0.72
T0384,HWH,DEPARTURE,07:43.3,0.72
T0384,BLY,ARRIVAL,18:05.0,0.38
T0384,BLY,DEPARTURE,18:35.0,0.38
T0384,SRP,ARRIVAL,25:24.2,2.8
T0384,SRP,DEPARTURE,25:54.2,2.8
T0384,CGR,ARRIVAL,30:46.6,1.48
T0384,CGR,DEPARTURE,31:16.6,1.48
T0384,CNS,ARRIVAL,38:21.5,1.46
T0384,CNS,DEPARTURE,38:51.5,1.46
T0384,BDC,ARRIVAL,48:54.4,0.51
T0384,BDC,DEPARTURE,49:24.4,0.51
T0385,HWH,ARRIVAL,25:25.7,0.43
T0385,HWH,DEPARTURE,27:25.7,0.43
T0385,BLY,ARRIVAL,37:57.3,0.26
T0385,BLY,DEPARTURE,38:27.3,0.26
T0385,SRP,ARRIVAL,42:38.8,0.05
T0385,SRP,DEPARTURE,43:08.8,0.05
T0385,CGR,ARRIVAL,50:54.0,1.6
T0385,CGR,DEPARTURE,51:24.0,1.6
T0385,CNS,ARRIVAL,58:14.5,1.34
T0385,CNS,DEPARTURE,58:44.5,1.34
T0385,BDC,ARRIVAL,14:56.3,6.54
T0385,BDC,DEPARTURE,15:26.3,6.54
T0386,HWH,ARRIVAL,09:33.4,4.56
T0386,HWH,DEPARTURE,11:33.4,4.56
T0386,BLY,ARRIVAL,18:20.9,0.65
T0386,BLY,DEPARTURE,18:50.9,0.65
T0386,SRP,ARRIVAL,23:46.3,1.17
T0386,SRP,DEPARTURE,24:16.3,1.17
T0386,CGR,ARRIVAL,31:37.0,2.32
T0386,CGR,DEPARTURE,32:07.0,2.32
T0386,CNS,ARRIVAL,38:24.9,1.52
